State,Confirmed,Deaths,Recovered,Latitude,Longitude,Population,Area,Population Density,Average Temperature,Average Precipitation
Washington,83,13,0,47.75,-120.74,6895318.0,71303,96.7044584379339,2.094482421875,81.0
California,59,1,0,36.78,-119.41,37999878.0,163707,232.12127764848174,12.7547607421875,71.0
New York,36,0,0,43.0,-75.0,19576125.0,54475,359.35979807251033,-1.06976318359375,87.0
Illinois,5,0,2,40.0,-89.0,12868192.0,57918,222.17949514831312,4.989013671875,83.0
Texas,5,0,0,31.0,-100.0,26060796.0,268601,97.02419574014989,14.0474853515625,32.0
Maryland,3,0,0,39.05,-76.64,5884868.0,12407,474.31836866285164,6.89385986328125,101.0
Massachusetts,7,0,0,42.41,-71.38,6645303.0,10555,629.5881572714353,1.9312744140625,102.0
New Jersey,2,0,0,39.83,-74.87,8867749.0,8722,1016.7105021783995,5.64501953125,105.0
Colorado,4,0,0,39.11,-105.36,5189458.0,104100,49.85070124879923,-1.71722412109375,25.0
Georgia,3,0,0,33.24,-83.44,9915646.0,59441,166.81492572466817,12.95501708984375,134.0
New Hampshire,2,0,0,44.0,-71.5,1321617.0,9351,141.33429579724094,-2.30902099609375,101.0
Florida,4,0,0,27.99,-81.76,19320749.0,65758,293.81594634873323,19.344482421875,83.0
Arizona,3,0,1,34.0,-111.09,6551149.0,114006,57.46319491956564,7.09326171875,67.0
Rhode Island,2,0,0,41.7,-71.5,1050304.0,1545,679.8084142394822,3.405029296875,110.0
Oregon,3,0,0,44.0,-120.5,3899801.0,98386,39.63776350293741,1.80377197265625,25.0
North Carolina,2,0,0,35.78,-80.79,9748364.0,53821,181.1256572713253,9.915771484375,111.0
Nevada,2,0,0,39.87,-117.22,2754354.0,110567,24.911176029014083,3.802734375,29.0
Pennsylvania,2,0,0,41.2,-77.19,12764475.0,46058,277.1391506361544,2.23052978515625,77.0
Nebraska,1,0,0,41.5,-100.0,1855350.0,77358,23.983944776235166,2.56475830078125,36.0
Kentucky,1,0,0,37.83,-84.27,4379730.0,40411,108.37964910544159,7.26397705078125,111.0
Wisconsin,1,0,1,44.5,-89.5,5724554.0,65503,87.39376822435614,-1.41400146484375,52.0
Indiana,1,0,0,40.27,-86.13,6537782.0,36420,179.51076331685886,3.7974853515625,80.0
Minnesota,1,0,0,46.39,-94.63,5379646.0,86943,61.87555064812578,-2.91876220703125,41.0
Tennessee,1,0,0,35.86,-86.66,6454914.0,42146,153.15602904190197,9.46051025390625,142.0
