State,Confirmed,Deaths,Recovered,Latitude,Longitude,Population,Area,Population Density,Average Temperature,Average Precipitation
Illinois,2,0,0,40.0,-89.0,12868192.0,57918,222.17949514831312,-1.32147216796875,47.0
Massachusetts,1,0,0,42.41,-71.38,6645303.0,10555,629.5881572714353,-2.99627685546875,86.0
California,3,0,0,36.78,-119.41,37999878.0,163707,232.12127764848174,10.70623779296875,72.0
Washington,1,0,0,47.75,-120.74,6895318.0,71303,96.7044584379339,-1.32977294921875,117.0
Arizona,1,0,0,34.0,-111.09,6551149.0,114006,57.46319491956564,5.3740234375,53.0
