State,Confirmed,Deaths,Recovered,Latitude,Longitude,Population,Area,Population Density,Average Temperature,Average Precipitation
Nebraska,11,0,0,41.5,-100.0,1855350.0,77358,23.983944776235166,-2.28973388671875,14.0
California,15,0,0,36.78,-119.41,37999878.0,163707,232.12127764848174,10.70623779296875,72.0
Illinois,2,0,2,40.0,-89.0,12868192.0,57918,222.17949514831312,-1.32147216796875,47.0
Texas,3,0,0,31.0,-100.0,26060796.0,268601,97.02419574014989,9.77801513671875,34.0
Massachusetts,1,0,0,42.41,-71.38,6645303.0,10555,629.5881572714353,-2.99627685546875,86.0
Wisconsin,1,0,0,44.5,-89.5,5724554.0,65503,87.39376822435614,-7.947509765625,24.0
Washington,1,0,1,47.75,-120.74,6895318.0,71303,96.7044584379339,-1.32977294921875,117.0
Arizona,1,0,0,34.0,-111.09,6551149.0,114006,57.46319491956564,5.3740234375,53.0
